tender_country,tender_year,tender_mainCpv,tender_estimatedPrice_EUR,lot_bidsCount,tender_procedureType,tender_supplyType,buyer_buyerType,buyer_country,tender_indicator_score_INTEGRITY,tender_indicator_score_ADMINISTRATIVE,tender_indicator_score_TRANSPARENCY
RO,2019,66516100,9579736.0,1.0,APPROACHING_BIDDERS,SERVICES,NATIONAL_AUTHORITY,ROMANIA,69.5479,37.7778,41.6667
RO,2019,64112000,9291963.0,1.0,APPROACHING_BIDDERS,SERVICES,REGIONAL_AUTHORITY,ROMANIA,71.3602,37.7778,40.0
RO,2021,15000000,745046.0,6.0,APPROACHING_BIDDERS,SUPPLIES,OTHER,ROMANIA,89.8415,37.6471,42.0635
RO,2022,33140000,1924694.0,3.0,APPROACHING_BIDDERS,SUPPLIES,OTHER,ROMANIA,87.4391,39.375,42.7035
RO,2018,15800000,2109727.0,1.0,APPROACHING_BIDDERS,SUPPLIES,NATIONAL_AUTHORITY,ROMANIA,76.1531,38.6207,42.6641
RO,2018,33696500,7132811.0,1.0,APPROACHING_BIDDERS,SUPPLIES,OTHER,ROMANIA,84.3006,39.5238,42.6065
RO,2022,03212100,5192355.0,5.0,APPROACHING_BIDDERS,SUPPLIES,OTHER,ROMANIA,89.7043,36.9231,42.328
RO,2022,33630000,3539132.0,16.0,APPROACHING_BIDDERS,SUPPLIES,EUROPEAN_AGENCY,ROMANIA,84.4453,39.3939,42.5249
RO,2018,33696500,7132811.0,1.0,APPROACHING_BIDDERS,SUPPLIES,OTHER,ROMANIA,84.3006,39.5238,42.6065
SI,2015,50110000,2808.0,1.0,NEGOTIATED,SERVICES,UTILITIES,SI,61.7674,26.3636,74.726
BG,2020,71631000,35273.0,1.0,NEGOTIATED_WITH_PUBLICATION,SERVICES,OTHER,BG,60.0,92.3077,29.1667
BG,2021,24455000,19344.0,2.0,NEGOTIATED_WITH_PUBLICATION,SUPPLIES,OTHER,BG,75.2941,40.7407,44.8276
BG,2020,90911200,8691638.0,4.0,OPEN,SERVICES,NATIONAL_AUTHORITY,BG,100.0,47.2222,77.1895
BG,2017,90911200,6135597.0,4.0,OPEN,SERVICES,NATIONAL_AUTHORITY,BG,83.0601,48.6111,76.1464
BG,2020,79711000,511181.0,1.0,OPEN,SERVICES,UTILITIES,BG,83.1746,26.0417,76.4636
BG,2019,63500000,826270.0,3.0,OPEN,SERVICES,NATIONAL_AUTHORITY,BG,100.0,28.5714,77.1242
BG,2017,71520000,811253.0,1.0,OPEN,SERVICES,PUBLIC_BODY,BG,83.3333,30.5556,75.0
BG,2021,50730000,664406.0,1.0,OPEN,SERVICES,NATIONAL_AUTHORITY,BG,95.5556,44.0476,76.3889
BG,2015,63500000,15338992.0,5.0,OPEN,SERVICES,NATIONAL_AUTHORITY,BG,83.1395,44.0476,77.5194
BG,2016,22458000,2556499.0,1.0,OPEN,SERVICES,NATIONAL_AUTHORITY,BG,58.3333,17.6471,80.0
BG,2016,71220000,7669496.0,4.0,OPEN,SERVICES,REGIONAL_AUTHORITY,BG,77.5262,32.0,77.6107
CZ,2019,77200000,11667138.0,1.0,OPEN,SERVICES,NATIONAL_AUTHORITY,CZ,85.0199,46.9697,67.0194
CZ,2015,90910000,166322.0,2.0,OPEN,SERVICES,NATIONAL_AUTHORITY,CZ,100.0,22.3684,55.5556
CZ,2015,77200000,1131217.0,6.0,OPEN,SERVICES,OTHER,CZ,100.0,17.3333,75.0
ES,2015,72250000,907875.0,7.0,OPEN,SERVICES,REGIONAL_AUTHORITY,ES,99.902,17.3333,83.3333
ES,2019,79212000,11913423.41,246.0,OPEN,SERVICES,REGIONAL_AUTHORITY,ES,100.0,32.7778,43.75
IT,2016,50230000,4300000.0,1.0,OPEN,SERVICES,OTHER,IT,73.4542,13.6364,83.3333
RO,2021,60400000,750763.0,10.0,OPEN,SERVICES,NATIONAL_AUTHORITY,RO,85.7143,30.303,43.75
RO,2023,90910000,370623.0,3.0,OPEN,SERVICES,NATIONAL_AGENCY,RO,100.0,30.5556,50.0
RO,2019,50421000,7533.0,10.0,OPEN,SERVICES,PUBLIC_BODY,ROMANIA,86.8304,39.5918,42.236
RO,2021,50112000,1221631.0,2.0,OPEN,SERVICES,NATIONAL_AUTHORITY,RO,80.0,25.3087,50.0
BG,2019,30197644,1278345.0,3.0,OPEN,SUPPLIES,NATIONAL_AUTHORITY,BG,100.0,47.2222,77.037
BG,2016,33140000,32519281.0,1.0,OPEN,SUPPLIES,PUBLIC_BODY,BG,74.5727,0.9804,69.9872
BG,2020,30125100,6650688.0,1.0,OPEN,SUPPLIES,NATIONAL_AUTHORITY,BG,81.4118,41.6667,82.9545
BG,2016,09100000,39702424.0,4.0,OPEN,SUPPLIES,NATIONAL_AUTHORITY,BG,82.2092,43.3333,77.6423
