tender_country,tender_year,tender_mainCpv,tender_estimatedPrice_EUR,lot_bidsCount,tender_procedureType,tender_supplyType,buyer_buyerType,buyer_country,tender_indicator_score_INTEGRITY,tender_indicator_score_ADMINISTRATIVE,tender_indicator_score_TRANSPARENCY
RO,2019,66516100,9579736.0,1.0,APPROACHING_BIDDERS,SERVICES,NATIONAL_AUTHORITY,ROMANIA,69.5479,37.7778,41.6667
RO,2019,64112000,9291963.0,1.0,APPROACHING_BIDDERS,SERVICES,REGIONAL_AUTHORITY,ROMANIA,71.3602,37.7778,40.0
RO,2021,50110000,4384557.0,3.0,APPROACHING_BIDDERS,SERVICES,NATIONAL_AUTHORITY,ROMANIA,69.0478,37.8947,42.5974
RO,2019,98300000,183401.0,1.0,APPROACHING_BIDDERS,SERVICES,NATIONAL_AUTHORITY,ROMANIA,67.6417,37.7778,40.4762
RO,2023,50420000,5478820.0,1.0,APPROACHING_BIDDERS,SERVICES,OTHER,ROMANIA,75.8273,37.3333,42.471
RO,2020,77312000,10768241.0,3.0,APPROACHING_BIDDERS,SERVICES,OTHER,ROMANIA,73.1665,37.7778,41.0714
RO,2022,98300000,39829.0,3.0,APPROACHING_BIDDERS,SERVICES,PUBLIC_BODY,ROMANIA,86.8707,37.7778,40.0
RO,2019,50421000,18440.0,23.0,APPROACHING_BIDDERS,SERVICES,REGIONAL_AUTHORITY,ROMANIA,87.9971,39.2593,42.236
RO,2022,50112000,2783946.0,1.0,APPROACHING_BIDDERS,SERVICES,OTHER,ROMANIA,65.2679,36.0,41.8367
RO,2019,79132100,11537.0,2.0,APPROACHING_BIDDERS,SERVICES,NATIONAL_AUTHORITY,ROMANIA,89.4366,37.7778,42.4242
RO,2021,66516100,79552.0,2.0,APPROACHING_BIDDERS,SERVICES,OTHER,ROMANIA,81.9088,36.0,39.2857
RO,2020,66516100,7127514.0,9.0,APPROACHING_BIDDERS,SERVICES,OTHER,ROMANIA,87.884,38.3333,42.0635
RO,2019,66516100,9579736.0,1.0,APPROACHING_BIDDERS,SERVICES,NATIONAL_AUTHORITY,ROMANIA,69.5479,37.7778,41.6667
RO,2018,98341130,105804.0,2.0,APPROACHING_BIDDERS,SERVICES,NATIONAL_AUTHORITY,ROMANIA,76.5543,37.7778,40.0
RO,2020,50422000,33998.0,6.0,APPROACHING_BIDDERS,SERVICES,OTHER,ROMANIA,89.9311,37.5,42.437
RO,2023,50110000,6851826.0,3.0,APPROACHING_BIDDERS,SERVICES,NATIONAL_AUTHORITY,ROMANIA,66.8293,36.6667,42.236
RO,2021,15000000,745046.0,6.0,APPROACHING_BIDDERS,SUPPLIES,OTHER,ROMANIA,89.8415,37.6471,42.0635
RO,2022,33140000,1924694.0,3.0,APPROACHING_BIDDERS,SUPPLIES,OTHER,ROMANIA,87.4391,39.375,42.7035
RO,2018,15800000,2109727.0,1.0,APPROACHING_BIDDERS,SUPPLIES,NATIONAL_AUTHORITY,ROMANIA,76.1531,38.6207,42.6641
RO,2018,33696500,7132811.0,1.0,APPROACHING_BIDDERS,SUPPLIES,OTHER,ROMANIA,84.3006,39.5238,42.6065
RO,2022,03212100,5192355.0,5.0,APPROACHING_BIDDERS,SUPPLIES,OTHER,ROMANIA,89.7043,36.9231,42.328
RO,2022,33630000,3539132.0,16.0,APPROACHING_BIDDERS,SUPPLIES,EUROPEAN_AGENCY,ROMANIA,84.4453,39.3939,42.5249
RO,2018,33696500,7132811.0,1.0,APPROACHING_BIDDERS,SUPPLIES,OTHER,ROMANIA,84.3006,39.5238,42.6065
RO,2022,33600000,2264485.0,1.0,APPROACHING_BIDDERS,SUPPLIES,OTHER,ROMANIA,81.9057,28.0,42.449
RO,2021,33600000,979454.0,5.0,APPROACHING_BIDDERS,SUPPLIES,OTHER,ROMANIA,86.4347,37.5439,42.5087
RO,2020,24455000,29474.0,1.0,APPROACHING_BIDDERS,SUPPLIES,PUBLIC_BODY,ROMANIA,79.0455,37.3333,41.8367
RO,2018,33141310,3176891.0,6.0,APPROACHING_BIDDERS,SUPPLIES,PUBLIC_BODY,ROMANIA,89.0353,36.0,42.2857
RO,2019,31431000,26671.0,2.0,APPROACHING_BIDDERS,SUPPLIES,NATIONAL_AUTHORITY,ROMANIA,89.2622,57.7778,42.437
RO,2022,15000000,3963752.0,8.0,APPROACHING_BIDDERS,SUPPLIES,PUBLIC_BODY,ROMANIA,86.3405,38.9189,42.1429
RO,2023,15000000,10195397.0,4.0,APPROACHING_BIDDERS,SUPPLIES,OTHER,ROMANIA,87.6014,39.0909,42.6471
RO,2018,03200000,54813.0,3.0,APPROACHING_BIDDERS,SUPPLIES,EUROPEAN_AGENCY,ROMANIA,78.7062,36.3636,42.3077
